qid,domain,type,answer,num_cards,num_supported,num_refuted,num_unknown,stop_reason,retrieval_quality,total_tokens,gold,correct,wrong_reason_guess
fc_a_001,financial_contracts,multi,AD,20,2,2,0,round1_resolved,,7721,AB,wrong,possible_reasoning_error
fc_a_002,financial_contracts,multi,ABD,20,3,1,0,round1_resolved,,6706,ABD,correct,possible_reasoning_error
fc_a_003,financial_contracts,tf,B,22,1,0,0,two_round_a_leaderboard,,11232,A,wrong,possible_reasoning_error
fc_a_004,financial_contracts,multi,AD,20,2,2,0,round1_resolved,,10531,A,wrong,possible_reasoning_error
fc_a_005,financial_contracts,multi,ABD,20,3,1,0,round1_resolved,,8446,ABD,correct,possible_reasoning_error
fc_a_006,financial_contracts,tf,A,20,1,1,0,round1_resolved,,5231,A,correct,answer_fallback
fc_a_007,financial_contracts,multi,BD,26,2,2,0,two_round_a_leaderboard,,11079,B,wrong,possible_reasoning_error
fc_a_008,financial_contracts,mcq,B,26,1,3,0,two_round_a_leaderboard,,12044,B,correct,possible_reasoning_error
fc_a_009,financial_contracts,multi,ABD,20,3,1,0,round1_resolved,,9109,ABD,correct,possible_reasoning_error
fc_a_010,financial_contracts,tf,A,20,1,1,0,round1_resolved,,5996,A,correct,answer_fallback
fc_a_011,financial_contracts,multi,ABD,20,3,1,0,round1_resolved,,7561,AB,wrong,possible_reasoning_error
fc_a_012,financial_contracts,multi,ACD,26,3,0,0,two_round_a_leaderboard,,15621,AC,wrong,possible_reasoning_error
fc_a_013,financial_contracts,tf,B,20,1,1,0,round1_resolved,,7775,B,correct,possible_reasoning_error
fc_a_014,financial_contracts,multi,A,28,1,1,0,two_round_a_leaderboard,,15448,AB,wrong,answer_fallback
fc_a_015,financial_contracts,mcq,B,33,1,3,0,two_round_a_leaderboard,,16942,B,correct,possible_reasoning_error
fc_a_016,financial_contracts,multi,ABC,29,3,0,0,two_round_a_leaderboard,,14568,BC,wrong,possible_reasoning_error
fc_a_017,financial_contracts,multi,D,22,1,2,0,two_round_a_leaderboard,,11518,AD,wrong,possible_reasoning_error
fc_a_018,financial_contracts,tf,A,22,0,0,0,review_local_rejudge_a_leaderboard,,18665,B,wrong,answer_fallback
fc_a_019,financial_contracts,multi,B,30,1,2,0,two_round_a_leaderboard,,16477,B,correct,possible_reasoning_error
fc_a_020,financial_contracts,multi,AB,24,2,1,0,two_round_a_leaderboard,,12019,ABD,wrong,possible_reasoning_error
fin_a_001,financial_reports,multi,AB,20,2,2,0,round1_resolved,,9454,AB,correct,possible_reasoning_error
fin_a_002,financial_reports,multi,ABD,20,3,1,0,round1_resolved,,11422,ABD,correct,possible_reasoning_error
fin_a_003,financial_reports,tf,A,20,1,1,0,round1_resolved,,8364,A,correct,answer_fallback
fin_a_004,financial_reports,multi,BD,25,2,0,0,two_round_a_leaderboard,,20013,ABD,wrong,possible_reasoning_error
fin_a_005,financial_reports,multi,AB,21,2,2,0,two_round_a_leaderboard,,18322,ABD,wrong,possible_reasoning_error
fin_a_006,financial_reports,tf,A,20,1,1,0,round1_resolved,,7888,A,correct,answer_fallback
fin_a_007,financial_reports,multi,ABD,20,3,1,0,round1_resolved,,8577,ABD,correct,possible_reasoning_error
fin_a_008,financial_reports,mcq,A,31,1,2,0,two_round_a_leaderboard,,19087,B,wrong,answer_fallback
fin_a_009,financial_reports,multi,ABC,30,3,1,0,two_round_a_leaderboard,,16839,ABC,correct,possible_reasoning_error
fin_a_010,financial_reports,tf,A,20,1,1,0,two_round_a_leaderboard,,24869,A,correct,answer_fallback
fin_a_011,financial_reports,multi,ACD,24,3,0,0,two_round_a_leaderboard,,11694,ACD,correct,possible_reasoning_error
fin_a_012,financial_reports,multi,BCD,35,3,0,0,two_round_a_leaderboard,,9828,ABD,wrong,possible_reasoning_error
fin_a_013,financial_reports,tf,A,20,1,1,0,round1_resolved,,9634,A,correct,answer_fallback
fin_a_014,financial_reports,multi,B,28,1,2,0,two_round_a_leaderboard,,16212,AB,wrong,possible_reasoning_error
fin_a_015,financial_reports,mcq,B,21,0,4,0,review_local_rejudge_a_leaderboard,,23249,A,wrong,possible_reasoning_error
fin_a_016,financial_reports,multi,ABD,20,3,1,0,round1_resolved,,9606,ABD,correct,possible_reasoning_error
fin_a_017,financial_reports,multi,AC,20,2,2,0,round1_resolved,,11424,AC,correct,possible_reasoning_error
fin_a_018,financial_reports,tf,A,20,1,1,0,round1_resolved,,10075,A,correct,answer_fallback
fin_a_019,financial_reports,multi,AB,20,2,2,0,round1_resolved,,11491,AB,correct,possible_reasoning_error
fin_a_020,financial_reports,multi,B,31,1,1,0,two_round_a_leaderboard,,21780,ABC,wrong,possible_reasoning_error
ins_a_001,insurance,mcq,B,20,1,3,0,round1_resolved,,8825,B,correct,possible_reasoning_error
ins_a_002,insurance,mcq,A,20,1,3,0,round1_resolved,,9019,A,correct,answer_fallback
ins_a_003,insurance,mcq,D,26,1,0,0,two_round_a_leaderboard,,27640,A,wrong,possible_reasoning_error
ins_a_004,insurance,mcq,A,20,1,3,0,round1_resolved,,14169,A,correct,answer_fallback
ins_a_005,insurance,multi,ABCD,25,4,0,0,two_round_a_leaderboard,,17345,ABCD,correct,possible_reasoning_error
ins_a_006,insurance,mcq,C,20,1,3,0,round1_resolved,,16841,A,wrong,possible_reasoning_error
ins_a_007,insurance,multi,BC,21,2,1,0,two_round_a_leaderboard,,17482,BC,correct,possible_reasoning_error
ins_a_008,insurance,multi,AC,23,2,2,0,two_round_a_leaderboard,,22053,ABC,wrong,possible_reasoning_error
ins_a_009,insurance,multi,C,24,1,2,0,two_round_a_leaderboard,,12151,C,correct,possible_reasoning_error
ins_a_010,insurance,multi,AB,25,2,2,0,two_round_a_leaderboard,,16905,AB,correct,possible_reasoning_error
ins_a_011,insurance,multi,BC,20,2,2,0,round1_resolved,,12129,BC,correct,possible_reasoning_error
ins_a_012,insurance,multi,A,22,1,0,0,two_round_a_leaderboard,,18289,AB,wrong,answer_fallback
ins_a_013,insurance,mcq,A,20,1,3,0,round1_resolved,,8968,A,correct,answer_fallback
ins_a_014,insurance,multi,AB,26,2,1,0,two_round_a_leaderboard,,23758,ABD,wrong,possible_reasoning_error
ins_a_015,insurance,multi,AB,22,2,2,0,two_round_a_leaderboard,,19484,AB,correct,possible_reasoning_error
ins_a_016,insurance,multi,CD,20,2,0,0,two_round_a_leaderboard,,20739,CD,correct,possible_reasoning_error
ins_a_017,insurance,multi,ABCD,25,4,0,0,two_round_a_leaderboard,,12563,ABCD,correct,possible_reasoning_error
ins_a_018,insurance,multi,BCD,22,3,1,0,two_round_a_leaderboard,,17696,BCD,correct,possible_reasoning_error
ins_a_019,insurance,multi,AB,21,2,0,0,two_round_a_leaderboard,,14745,ABCD,wrong,possible_reasoning_error
ins_a_020,insurance,mcq,D,20,1,3,0,two_round_a_leaderboard,,31144,D,correct,possible_reasoning_error
reg_a_001,regulatory,multi,AC,22,2,1,0,two_round_a_leaderboard,,9393,AC,correct,possible_reasoning_error
reg_a_002,regulatory,multi,ABC,20,3,1,0,round1_resolved,,4933,ABC,correct,possible_reasoning_error
reg_a_003,regulatory,tf,A,20,1,1,0,round1_resolved,,5539,A,correct,answer_fallback
reg_a_004,regulatory,multi,ABC,22,3,1,0,two_round_a_leaderboard,,10616,ABC,correct,possible_reasoning_error
reg_a_005,regulatory,multi,ABC,20,3,1,0,round1_resolved,,6236,ABC,correct,possible_reasoning_error
reg_a_006,regulatory,tf,A,20,1,1,0,round1_resolved,,5121,A,correct,answer_fallback
reg_a_007,regulatory,multi,ACD,20,3,1,0,round1_resolved,,6933,ACD,correct,possible_reasoning_error
reg_a_008,regulatory,mcq,A,23,2,2,0,two_round_a_leaderboard,,11304,A,correct,answer_fallback
reg_a_009,regulatory,multi,ABD,20,3,1,0,round1_resolved,,6112,BD,wrong,possible_reasoning_error
reg_a_010,regulatory,tf,B,20,1,1,0,round1_resolved,,6592,B,correct,possible_reasoning_error
reg_a_011,regulatory,multi,ACD,28,3,1,0,two_round_a_leaderboard,,12025,ACD,correct,possible_reasoning_error
reg_a_012,regulatory,multi,ABD,25,3,1,0,two_round_a_leaderboard,,10446,ABD,correct,possible_reasoning_error
reg_a_013,regulatory,tf,A,24,0,1,0,review_local_rejudge_a_leaderboard,,15341,A,correct,answer_fallback
reg_a_014,regulatory,multi,ABD,20,3,1,0,round1_resolved,,5443,ABD,correct,possible_reasoning_error
reg_a_015,regulatory,mcq,C,20,1,3,0,round1_resolved,,4715,C,correct,possible_reasoning_error
reg_a_016,regulatory,multi,ABD,25,3,1,0,two_round_a_leaderboard,,9924,ABD,correct,possible_reasoning_error
reg_a_017,regulatory,multi,ABC,27,3,1,0,two_round_a_leaderboard,,13861,ABC,correct,possible_reasoning_error
reg_a_018,regulatory,tf,A,20,1,1,0,round1_resolved,,5578,A,correct,answer_fallback
reg_a_019,regulatory,multi,ABD,20,3,1,0,round1_resolved,,7391,AB,wrong,possible_reasoning_error
reg_a_020,regulatory,multi,ABD,20,3,1,0,round1_resolved,,5412,ABD,correct,possible_reasoning_error
res_a_001,research,multi,ABC,20,3,1,0,round1_resolved,,8856,ABCD,wrong,possible_reasoning_error
res_a_002,research,multi,AC,28,2,1,0,two_round_a_leaderboard,,16322,C,wrong,possible_reasoning_error
res_a_003,research,tf,A,16,1,1,0,round1_resolved,,8109,A,correct,answer_fallback
res_a_004,research,multi,ABC,20,3,1,0,round1_resolved,,10134,A,wrong,possible_reasoning_error
res_a_005,research,multi,ABC,20,3,1,0,round1_resolved,,9044,ABC,correct,possible_reasoning_error
res_a_006,research,tf,A,20,1,1,0,round1_resolved,,10754,A,correct,answer_fallback
res_a_007,research,multi,AB,23,2,1,0,two_round_a_leaderboard,,10885,ABC,wrong,possible_reasoning_error
res_a_008,research,mcq,A,31,1,2,0,two_round_a_leaderboard,,13067,A,correct,answer_fallback
res_a_009,research,multi,ABC,20,3,1,0,round1_resolved,,11090,ABC,correct,possible_reasoning_error
res_a_010,research,tf,A,24,0,0,0,review_local_rejudge_a_leaderboard,,13973,A,correct,answer_fallback
res_a_011,research,multi,ABC,23,3,0,0,two_round_a_leaderboard,,16816,ABC,correct,possible_reasoning_error
res_a_012,research,multi,ABC,27,3,1,0,two_round_a_leaderboard,,10956,AB,wrong,possible_reasoning_error
res_a_013,research,tf,B,20,1,1,0,round1_resolved,,8909,B,correct,possible_reasoning_error
res_a_014,research,multi,ABC,20,3,1,0,round1_resolved,,9293,ABC,correct,possible_reasoning_error
res_a_015,research,mcq,A,27,1,2,0,two_round_a_leaderboard,,16484,A,correct,answer_fallback
res_a_016,research,multi,ACD,23,3,0,0,two_round_a_leaderboard,,18603,ABC,wrong,possible_reasoning_error
res_a_017,research,multi,AD,22,2,2,0,two_round_a_leaderboard,,16905,ABD,wrong,possible_reasoning_error
res_a_018,research,tf,A,20,1,1,0,round1_resolved,,10223,A,correct,answer_fallback
res_a_019,research,multi,A,34,1,2,0,two_round_a_leaderboard,,13388,AB,wrong,answer_fallback
res_a_020,research,multi,A,23,1,3,0,review_local_rejudge_a_leaderboard,,17708,A,correct,answer_fallback
