qid,reference_answer,confidence,short_reason summary
fc_a_001,AB,medium,text01发行人为广晟且10亿元；text02发行上限5亿元
fc_a_002,ABD,high,text14主体AAA且20亿元并为西部证券；text01主体亦为AAA且10亿元
fc_a_003,A,high,两文档均承诺及时公平履行信息披露义务
fc_a_004,A,high,text01本期发行规模不超过10亿元；其他项与text13不符
fc_a_005,ABD,high,text01发行人为广晟；text10为发行股份购买资产并募资且力诺投资43.24%
fc_a_006,A,high,text01提及回售选择权相关表决；text04明确回售赎回条款
fc_a_007,B,medium,text02上限5亿元；text14上限20亿元；其他共同描述不成立
fc_a_008,B,high,text03违约金公式含票面利率乘150%
fc_a_009,ABD,high,text02主体评级AA+且提及违约记录；text10力诺投资43.24%且有补偿风险
fc_a_010,A,high,text06列有转股价格向下修正条款；text02证据未见该术语
fc_a_011,AB,high,text02发行人含深圳市融资租赁且上限5亿元；text07上市地为深交所
fc_a_012,AC,high,text03回售或赎回兑付日为2031年4月23日；text13资产负债率下降
fc_a_013,B,medium,text03有董高真实性声明；text10仅证实力诺投资43.24%未证实同类声明
fc_a_014,AB,medium,text03违约金基数含本金和利息；text08补偿通知期限为10日
fc_a_015,B,high,text14注册金额明确为不超过180亿元
fc_a_016,BC,high,text04和text09均有有条件赎回；text09称全部转股后资产负债率26.99%
fc_a_017,AD,high,两文档均涉及向下修正条款且均有有条件赎回条款
fc_a_018,B,low,证据未显示第二份公告日期晚于第一份发行日期
fc_a_019,B,high,text07列示资产负债率5.70%和35.83%
fc_a_020,ABD,medium,text11初始转股价18.26且不低于公告日市场价；text04发行人简称为安克创新
fin_a_001,AB,high,2025营收增长且归母净利下滑，经营现金流和研发占比表述不符
fin_a_002,ABD,high,2025营收增长且分红金额更高并按净利50%分红，经营现金流增加非减少
fin_a_003,A,high,2025归母净利下降且现金分红比例由24.29%升至28.75%
fin_a_004,ABD,high,2025收入增速更高且经营现金流下降，现金分红加回购超过归母净利
fin_a_005,ABD,high,比亚迪收入和研发强度更高，美的现金流不高于比亚迪，双方归母净利均双位数增长
fin_a_006,A,high,BYD经营现金流低于营收一半，美的经营现金流高于营收十分之一
fin_a_007,ABD,high,BYD研发占比6.97%，CATL每10股69.57元且经营现金流增37.35%
fin_a_008,B,medium,CATL年度现金分红部分为归母净利20%，其他选项数值或口径错误
fin_a_009,ABC,high,中国移动营收超万亿，BYD研发占比更高且两者经营现金流均为正
fin_a_010,A,high,BYD研发占比由6.97%升至7.89%，美的披露自2019起连续四年回购
fin_a_011,ACD,high,美的净利增速高且每10股分红高于BYD，双方经营现金流均为正
fin_a_012,ABD,high,中国移动营收更大，BYD净利降18.97%，双方经营现金流同比下降
fin_a_013,A,high,CATL每10股45.53元高于BYD每10股3.58元
fin_a_014,AB,high,CATL营收增速高于BYD且按净利50%现金分红，BYD研发占比和现金流增长项不符
fin_a_015,A,medium,CATL年度现金分红部分为归母净利20%，其余选项与披露不符
fin_a_016,ABD,medium,CATL每10股45.53元，美的年末每10股38元且分红回购总额超过归母净利
fin_a_017,AC,high,CATL筹资现金流减少约292亿元，中国建筑分红比例24.29%，新签合同额非2.19万亿且CATL不送股
fin_a_018,A,high,CATL营收增17.04%且净利增42.28%，均高于美的双位数增长
fin_a_019,AB,high,CATL按净利50%分红，美的披露自2019起连续四年回购
fin_a_020,ABC,high,中国移动营收超CATL两倍，CATL经营现金流1332亿元，中国移动研发费用占比3.9%
ins_a_001,B,high,增益宝144万最高 智盈90万 富鸿85万 鑫享80万
ins_a_002,A,high,智盈第7年为10万加收益75%即11.5万 增益宝退保费率0%
ins_a_003,A,medium,众安0免赔赔5万 e生保扣5000赔4.5万 太保扣1万赔4万
ins_a_004,A,high,重疾等待期内因意外伤害无等待期
ins_a_005,ABCD,medium,四项均属对应条款免责或不承保情形
ins_a_006,A,high,e生保家庭自费2.1万扣共享免赔1万 太保王某自费1.2万扣1万
ins_a_007,BC,high,增益宝可借现金价值扣欠款后80% 富鸿个人养老金投保不接受贷款
ins_a_008,ABC,medium,众安和e生保特药需指定流程 安佑福为重疾给付不含院外特药
ins_a_009,C,medium,特种车险含车上人员责任险 其余不符合责任范围或未投保
ins_a_010,AB,high,智盈给不同年度现金价值公式 增益宝为个人账户价值扣退保费用
ins_a_011,BC,medium,e生保和太保百万医疗可赔一般医疗 白血病险和营运交通险不赔骨折医疗
ins_a_012,AB,medium,增益宝和团体医疗条款明确效力中止期间不承担保险责任
ins_a_013,A,low,智盈领取日前可变 鑫享不得变 富鸿领取安排可申请变更
ins_a_014,ABD,medium,双耳失聪属重疾 e生保可赔医疗 营运交通险可按意外伤残给付
ins_a_015,AB,high,智盈和安佑福均列明2年内自杀免责且有无民事行为能力例外
ins_a_016,CD,high,平安和众安特种车险均规定施救费用最高不超过保险金额
ins_a_017,ABCD,medium,四项分别对应身故 白血病复发 营运交通伤残 家财火灾损失责任
ins_a_018,BCD,medium,统筹账户补偿不可抵扣 个账和其他商保补偿可抵扣 重疾险无免赔额
ins_a_019,ABCD,medium,四款产品犹豫期解除通常退还全部已交保险费
ins_a_020,D,high,家财险赔地板损失 普通门诊医疗未达或不属百万医疗赔付条件
reg_a_001,AC,high,差异报告30个工作日且较高风险以上存量6个月
reg_a_002,ABC,high,资料保存10年重大差异30个工作日且反洗钱信息保密
reg_a_003,A,medium,上市公司受益所有人需留存照片且高敏数据终端存储受限
reg_a_004,ABC,high,董高变动7日重大差异30个工作日撤并分支提前30日
reg_a_005,ABC,high,同机构调任10日报告上市公司留存照片收费调整提前30日
reg_a_006,A,medium,较高风险以上存量6个月且定期报告未经董事会不得披露
reg_a_007,ACD,high,新办法2026施行废旧规第三方高风险不得依托保单贷款1万元以上核身
reg_a_008,A,high,银行卡清算董高停止任职7日报告
reg_a_009,BD,high,核心数据提供前风险评估且安全事件补救可从轻减轻
reg_a_010,B,high,无法尽调应提交可疑交易报告而非大额交易报告
reg_a_011,ACD,medium,年度报告需董事会审议保险退保1万元核身调查未结保存至结束
reg_a_012,ABD,medium,治理文件须合规退市风险需披露原因董事候选人会前披露
reg_a_013,A,medium,董事候选人会前披露且半年度报告经董事会审议后披露
reg_a_014,ABD,high,股东会审议董事会报告披露董事候选人并审议募集资金变更
reg_a_015,C,high,具备分红条件不现金分红应充分披露原因
reg_a_016,ABD,medium,董事候选人会前披露不分红披露原因审计未勤勉可处罚
reg_a_017,ABC,medium,治理文件须符合准则董事候选人会前披露时效取决连续状态
reg_a_018,A,high,定期报告需董事会审议且证券公司行政处罚会扣分
reg_a_019,AB,medium,分类监管2025年8月22日施行且重组披露应含关联交易
reg_a_020,ABD,high,半年度报告需董事会审议未经不得披露分类规定2025年8月22日施行
res_a_001,ABCD,medium,信创规模与银保增速等表述匹配
res_a_002,C,high,ICT市场预测为8894.3亿美元
res_a_003,A,medium,RFID复合增速14.1%高于韩国银保增速
res_a_004,A,high,芯原主营芯片定制和IP授权
res_a_005,ABC,medium,服务零售和收入增速及银保占比获支持
res_a_006,A,high,杠杆上升且自有资产净利率下降
res_a_007,ABC,low,底座规则和信创规模获支持但题包证据缺失
res_a_008,A,medium,内置检测规则超过1000条
res_a_009,ABC,high,韩国银保和检测规则及欧盟份额均支持
res_a_010,A,high,新成立91.1亿份且主动56.3亿份
res_a_011,ABC,medium,杠杆规则和净利率表述成立
res_a_012,AB,medium,芯原服务和检测规则支持
res_a_013,B,high,2786亿元和30.2%对应美国2024年
res_a_014,ABC,medium,服务零售客户类型和收入增速支持
res_a_015,A,low,上市险企利润数据最符合可见金融机构线索
res_a_016,ABC,medium,服务零售银行手续费和收入增速获支持
res_a_017,ABD,medium,信创规模高储蓄和收入放缓支持
res_a_018,A,high,渗透率51.5%且宁德份额25%
res_a_019,AB,medium,六氟估值和油价化工品回落获支持
res_a_020,A,high,IPnest统计2024年IP授权份额
